Sample,Taxon,Table,Count
PCRpool3P1,Lysiphlebus_testaceipes,above,3942
PCRpool3P1,Metopolophium_dirhodum,above,715
PCRpool3P1,Psyllid_sp,above,1814
PCRpool3P1,Rhopalosiphum_padi,above,1015
PCRpool3P1,Scaptodrosophila_lativittata,above,1834
I4P1,Acizzia_alternata,above,11105
I4P1,Acizzia_solanicola,above,110447
I4P1,Aphidius_colemani,above,19030
I4P1,Bactrocera_tryoni,above,10174
I4P1,Bradysia_ocellaris,above,0
I4P1,Carpophilus_davidsoni,above,1579
I4P1,Carpophilus_dimidiatus,above,302
I4P1,Diuraphis_noxia,above,2210
I4P1,Drosophila_hydeii,above,1790
I4P1,Drosophila_melanogaster,above,232863
I4P1,Drosophila_simulans,above,6446
I4P1,Lysiphlebus_testaceipes,above,11505
I4P1,Metopolophium_dirhodum,above,2014
I4P1,Psyllid_sp,above,2459
I4P1,Rhopalosiphum_padi,above,5615
I4P1,Scaptodrosophila_lativittata,above,929
D4P1,Acizzia_alternata,above,12028
D4P1,Acizzia_solanicola,above,10981
D4P1,Aphidius_colemani,above,16840
D4P1,Bactrocera_tryoni,above,652
D4P1,Bradysia_ocellaris,above,0
D4P1,Carpophilus_davidsoni,above,1130
D4P1,Carpophilus_dimidiatus,above,8774
D4P1,Diuraphis_noxia,above,19
D4P1,Drosophila_hydeii,above,479
D4P1,Drosophila_melanogaster,above,100988
D4P1,Drosophila_simulans,above,705
D4P1,Lysiphlebus_testaceipes,above,3625
D4P1,Metopolophium_dirhodum,above,27
D4P1,Psyllid_sp,above,1438
D4P1,Rhopalosiphum_padi,above,144
D4P1,Scaptodrosophila_lativittata,above,886
PCRpool4P1,Acizzia_alternata,above,1204
PCRpool4P1,Acizzia_solanicola,above,9894
PCRpool4P1,Aphidius_colemani,above,35269
PCRpool4P1,Bactrocera_tryoni,above,1023
PCRpool4P1,Bradysia_ocellaris,above,0
PCRpool4P1,Carpophilus_davidsoni,above,5508
PCRpool4P1,Carpophilus_dimidiatus,above,1516
PCRpool4P1,Diuraphis_noxia,above,986
PCRpool4P1,Drosophila_hydeii,above,2046
PCRpool4P1,Drosophila_melanogaster,above,52265
PCRpool4P1,Drosophila_simulans,above,27493
PCRpool4P1,Lysiphlebus_testaceipes,above,18066
PCRpool4P1,Metopolophium_dirhodum,above,1083
PCRpool4P1,Psyllid_sp,above,2436
PCRpool4P1,Rhopalosiphum_padi,above,1679
PCRpool4P1,Scaptodrosophila_lativittata,above,2517
I5P1,Acizzia_alternata,above,60423
I5P1,Acizzia_solanicola,above,352027
I5P1,Aphidius_colemani,above,17209
I5P1,Bactrocera_tryoni,above,45183
I5P1,Bradysia_ocellaris,above,913
I5P1,Carpophilus_davidsoni,above,5253
I5P1,Carpophilus_dimidiatus,above,463
I5P1,Diuraphis_noxia,above,217
I5P1,Drosophila_hydeii,above,404
I5P1,Drosophila_melanogaster,above,7480
