Sample,Taxon,Table,Count
D5P2,Scaptodrosophila_lativittata,above,1017
PCRpool5P2,Acizzia_alternata,above,1544
PCRpool5P2,Acizzia_solanicola,above,16978
PCRpool5P2,Aphidius_colemani,above,78707
PCRpool5P2,Bactrocera_tryoni,above,2178
PCRpool5P2,Bradysia_ocellaris,above,1367
PCRpool5P2,Carpophilus_davidsoni,above,39015
PCRpool5P2,Carpophilus_dimidiatus,above,1696
PCRpool5P2,Diuraphis_noxia,above,876
PCRpool5P2,Drosophila_hydeii,above,1966
PCRpool5P2,Drosophila_melanogaster,above,9645
PCRpool5P2,Drosophila_simulans,above,3550
PCRpool5P2,Lysiphlebus_testaceipes,above,11739
PCRpool5P2,Metopolophium_dirhodum,above,1178
PCRpool5P2,Psyllid_sp,above,5696
PCRpool5P2,Rhopalosiphum_padi,above,1942
PCRpool5P2,Scaptodrosophila_lativittata,above,1828
I6P2,Acizzia_alternata,above,2302
I6P2,Acizzia_solanicola,above,456632
I6P2,Aphidius_colemani,above,1106
I6P2,Bactrocera_tryoni,above,21907
I6P2,Bradysia_ocellaris,above,0
I6P2,Carpophilus_davidsoni,above,18889
I6P2,Carpophilus_dimidiatus,above,423
I6P2,Diuraphis_noxia,above,977
I6P2,Drosophila_hydeii,above,2691
I6P2,Drosophila_melanogaster,above,5506
I6P2,Drosophila_simulans,above,751
I6P2,Lysiphlebus_testaceipes,above,272
I6P2,Metopolophium_dirhodum,above,173
I6P2,Psyllid_sp,above,24961
I6P2,Rhopalosiphum_padi,above,4319
I6P2,Scaptodrosophila_lativittata,above,913
D6P2,Acizzia_alternata,above,11077
D6P2,Acizzia_solanicola,above,61064
D6P2,Aphidius_colemani,above,3516
D6P2,Bactrocera_tryoni,above,1725
D6P2,Bradysia_ocellaris,above,0
D6P2,Carpophilus_davidsoni,above,37540
D6P2,Carpophilus_dimidiatus,above,6186
D6P2,Diuraphis_noxia,above,22
D6P2,Drosophila_hydeii,above,785
D6P2,Drosophila_melanogaster,above,5881
D6P2,Drosophila_simulans,above,428
D6P2,Lysiphlebus_testaceipes,above,287
D6P2,Metopolophium_dirhodum,above,108
D6P2,Psyllid_sp,above,8444
D6P2,Rhopalosiphum_padi,above,396
D6P2,Scaptodrosophila_lativittata,above,1120
PCRpool6P2,Acizzia_alternata,above,2072
PCRpool6P2,Acizzia_solanicola,above,59552
PCRpool6P2,Aphidius_colemani,above,10209
PCRpool6P2,Bactrocera_tryoni,above,2723
PCRpool6P2,Bradysia_ocellaris,above,0
PCRpool6P2,Carpophilus_davidsoni,above,89374
PCRpool6P2,Carpophilus_dimidiatus,above,1917
PCRpool6P2,Diuraphis_noxia,above,1147
PCRpool6P2,Drosophila_hydeii,above,2179
PCRpool6P2,Drosophila_melanogaster,above,23469
PCRpool6P2,Drosophila_simulans,above,4299
PCRpool6P2,Lysiphlebus_testaceipes,above,1002
PCRpool6P2,Metopolophium_dirhodum,above,1243
PCRpool6P2,Psyllid_sp,above,5550
PCRpool6P2,Rhopalosiphum_padi,above,2446
PCRpool6P2,Scaptodrosophila_lativittata,above,2157
I7P2,Acizzia_alternata,above,2281
I7P2,Acizzia_solanicola,above,500599
I7P2,Aphidius_colemani,above,2901
I7P2,Bactrocera_tryoni,above,4422
I7P2,Bradysia_ocellaris,above,40
I7P2,Carpophilus_davidsoni,above,515
I7P2,Carpophilus_dimidiatus,above,42
I7P2,Diuraphis_noxia,above,56
I7P2,Drosophila_hydeii,above,3988
I7P2,Drosophila_melanogaster,above,13778
I7P2,Drosophila_simulans,above,102
I7P2,Lysiphlebus_testaceipes,above,34
I7P2,Metopolophium_dirhodum,above,434
I7P2,Psyllid_sp,above,19948
I7P2,Rhopalosiphum_padi,above,1075
I7P2,Scaptodrosophila_lativittata,above,40
D7P2,Acizzia_alternata,above,18187
D7P2,Acizzia_solanicola,above,122662
D7P2,Aphidius_colemani,above,8390
D7P2,Bactrocera_tryoni,above,1697
D7P2,Bradysia_ocellaris,above,1424
D7P2,Carpophilus_davidsoni,above,4019
D7P2,Carpophilus_dimidiatus,above,6742
D7P2,Diuraphis_noxia,above,29
D7P2,Drosophila_hydeii,above,892
D7P2,Drosophila_melanogaster,above,18289
D7P2,Drosophila_simulans,above,481
D7P2,Lysiphlebus_testaceipes,above,320
D7P2,Metopolophium_dirhodum,above,91
D7P2,Psyllid_sp,above,9265
D7P2,Rhopalosiphum_padi,above,397
D7P2,Scaptodrosophila_lativittata,above,935
PCRpool7P2,Acizzia_alternata,above,1931
PCRpool7P2,Acizzia_solanicola,above,97569
PCRpool7P2,Aphidius_colemani,above,20293
PCRpool7P2,Bactrocera_tryoni,above,2149
PCRpool7P2,Bradysia_ocellaris,above,1511
PCRpool7P2,Carpophilus_davidsoni,above,7859
PCRpool7P2,Carpophilus_dimidiatus,above,1781
PCRpool7P2,Diuraphis_noxia,above,944
PCRpool7P2,Drosophila_hydeii,above,1880
PCRpool7P2,Drosophila_melanogaster,above,60116
PCRpool7P2,Drosophila_simulans,above,3700
PCRpool7P2,Lysiphlebus_testaceipes,above,909
PCRpool7P2,Metopolophium_dirhodum,above,1227
PCRpool7P2,Psyllid_sp,above,4810
PCRpool7P2,Rhopalosiphum_padi,above,2199
PCRpool7P2,Scaptodrosophila_lativittata,above,1739
I8P2,Acizzia_alternata,above,119456
I8P2,Acizzia_solanicola,above,235540
I8P2,Aphidius_colemani,above,3299
I8P2,Bactrocera_tryoni,above,56214
I8P2,Bradysia_ocellaris,above,0
I8P2,Carpophilus_davidsoni,above,5534
I8P2,Carpophilus_dimidiatus,above,1161
I8P2,Diuraphis_noxia,above,377
I8P2,Drosophila_hydeii,above,10770
I8P2,Drosophila_melanogaster,above,64722
I8P2,Drosophila_simulans,above,1532
I8P2,Lysiphlebus_testaceipes,above,389
I8P2,Metopolophium_dirhodum,above,5775
I8P2,Psyllid_sp,above,31879
I8P2,Rhopalosiphum_padi,above,5816
I8P2,Scaptodrosophila_lativittata,above,361
D8P2,Acizzia_alternata,above,12287
D8P2,Acizzia_solanicola,above,14525
D8P2,Aphidius_colemani,above,23340
D8P2,Bactrocera_tryoni,above,1598
D8P2,Bradysia_ocellaris,above,0
D8P2,Carpophilus_davidsoni,above,8497
D8P2,Carpophilus_dimidiatus,above,7447
D8P2,Diuraphis_noxia,above,46
D8P2,Drosophila_hydeii,above,1171
D8P2,Drosophila_melanogaster,above,39660
D8P2,Drosophila_simulans,above,594
D8P2,Lysiphlebus_testaceipes,above,1663
D8P2,Metopolophium_dirhodum,above,156
D8P2,Psyllid_sp,above,10452
D8P2,Rhopalosiphum_padi,above,576
D8P2,Scaptodrosophila_lativittata,above,1001
PCRpool8P2,Acizzia_alternata,above,1451
PCRpool8P2,Acizzia_solanicola,above,7995
PCRpool8P2,Aphidius_colemani,above,37459
PCRpool8P2,Bactrocera_tryoni,above,1971
PCRpool8P2,Bradysia_ocellaris,above,0
PCRpool8P2,Carpophilus_davidsoni,above,13334
PCRpool8P2,Carpophilus_dimidiatus,above,1386
PCRpool8P2,Diuraphis_noxia,above,919
PCRpool8P2,Drosophila_hydeii,above,1698
PCRpool8P2,Drosophila_melanogaster,above,93888
PCRpool8P2,Drosophila_simulans,above,3190
PCRpool8P2,Lysiphlebus_testaceipes,above,4220
PCRpool8P2,Metopolophium_dirhodum,above,1008
PCRpool8P2,Psyllid_sp,above,4272
PCRpool8P2,Rhopalosiphum_padi,above,1690
PCRpool8P2,Scaptodrosophila_lativittata,above,1587
