Sample,Taxon,Count,Observed,Expected,Num_species
I3P1,Aphidius_colemani,2204,0.420455824,0.06,15
I3P1,Bactrocera_tryoni,7493,1.429435342,0.01,15
I3P1,Bradysia_ocellaris,0,0,0,15
I3P1,Carpophilus_davidsoni,223,0.042541583,0.05,15
I3P1,Carpophilus_dimidiatus,175,0.03338465,0.01,15
I3P1,Diuraphis_noxia,94,0.017932326,0.01,15
I3P1,Drosophila_hydeii,231,0.044067738,0.01,15
I3P1,Drosophila_melanogaster,33523,6.395163613,0.25,15
I3P1,Drosophila_simulans,9183,1.751835679,0.01,15
I3P1,Lysiphlebus_testaceipes,271,0.051698516,0.04,15
I3P1,Metopolophium_dirhodum,128,0.024418487,0.01,15
I3P1,Psyllid_sp,554,0.105686264,0.01,15
I3P1,Rhopalosiphum_padi,4694,0.895471706,0.01,15
I3P1,Scaptodrosophila_lativittata,260,0.049600052,0.01,15
D3P1,Acizzia_alternata,8906,4.517120526,0.01,15
D3P1,Acizzia_solanicola,113008,57.31762367,0.5,15
D3P1,Aphidius_colemani,7740,3.925725676,0.06,15
D3P1,Bactrocera_tryoni,585,0.296711824,0.01,15
D3P1,Bradysia_ocellaris,0,0,0,15
D3P1,Carpophilus_davidsoni,560,0.284031832,0.05,15
D3P1,Carpophilus_dimidiatus,8481,4.301560653,0.01,15
D3P1,Diuraphis_noxia,17,0.008622395,0.01,15
D3P1,Drosophila_hydeii,420,0.213023874,0.01,15
D3P1,Drosophila_melanogaster,53017,26.89020648,0.25,15
D3P1,Drosophila_simulans,799,0.40525256,0.01,15
D3P1,Lysiphlebus_testaceipes,1082,0.548790075,0.04,15
D3P1,Metopolophium_dirhodum,38,0.019273589,0.01,15
D3P1,Psyllid_sp,1462,0.741525961,0.01,15
D3P1,Rhopalosiphum_padi,165,0.08368795,0.01,15
D3P1,Scaptodrosophila_lativittata,881,0.446842935,0.01,15
PCRpool3P1,Acizzia_alternata,653,0.498747403,0.01,15
PCRpool3P1,Acizzia_solanicola,66758,50.98832946,0.5,15
PCRpool3P1,Aphidius_colemani,11063,8.449682268,0.06,15
PCRpool3P1,Bactrocera_tryoni,583,0.445282904,0.01,15
PCRpool3P1,Bradysia_ocellaris,0,0,0,15
PCRpool3P1,Carpophilus_davidsoni,1973,1.506935109,0.05,15
PCRpool3P1,Carpophilus_dimidiatus,1058,0.808077722,0.01,15
PCRpool3P1,Diuraphis_noxia,667,0.509440303,0.01,15
PCRpool3P1,Drosophila_hydeii,1696,1.295368447,0.01,15
PCRpool3P1,Drosophila_melanogaster,19401,14.81806795,0.25,15
PCRpool3P1,Drosophila_simulans,17756,13.56165221,0.01,15
PCRpool3P1,Lysiphlebus_testaceipes,3942,3.010815104,0.04,15
PCRpool3P1,Metopolophium_dirhodum,715,0.546101674,0.01,15
PCRpool3P1,Psyllid_sp,1814,1.385494317,0.01,15
PCRpool3P1,Rhopalosiphum_padi,1015,0.775235244,0.01,15
PCRpool3P1,Scaptodrosophila_lativittata,1834,1.400769889,0.01,15
I4P1,Acizzia_alternata,11105,2.653727406,0.01,15
I4P1,Acizzia_solanicola,110447,26.39317702,0.05,15
I4P1,Aphidius_colemani,19030,4.547540075,0.12,15
I4P1,Bactrocera_tryoni,10174,2.431249223,0.01,15
I4P1,Bradysia_ocellaris,0,0,0,15
I4P1,Carpophilus_davidsoni,1579,0.377328732,0.1,15
I4P1,Carpophilus_dimidiatus,302,0.072168003,0.01,15
I4P1,Diuraphis_noxia,2210,0.528116845,0.01,15
I4P1,Drosophila_hydeii,1790,0.427750748,0.01,15
I4P1,Drosophila_melanogaster,232863,55.64654884,0.5,15
I4P1,Drosophila_simulans,6446,1.540380626,0.01,15
I4P1,Lysiphlebus_testaceipes,11505,2.749314165,0.13,15
I4P1,Metopolophium_dirhodum,2014,0.481279333,0.01,15
I4P1,Psyllid_sp,2459,0.587619603,0.01,15
I4P1,Rhopalosiphum_padi,5615,1.341799134,0.01,15
I4P1,Scaptodrosophila_lativittata,929,0.222000249,0.01,15
D4P1,Acizzia_alternata,12028,7.578315986,0.01,15
D4P1,Acizzia_solanicola,10981,6.918647143,0.05,15
D4P1,Aphidius_colemani,16840,10.61014643,0.12,15
D4P1,Bactrocera_tryoni,652,0.410796643,0.01,15
D4P1,Bradysia_ocellaris,0,0,0,15
D4P1,Carpophilus_davidsoni,1130,0.711963507,0.1,15
D4P1,Carpophilus_dimidiatus,8774,5.528113108,0.01,15
D4P1,Diuraphis_noxia,19,0.011971068,0.01,15
D4P1,Drosophila_hydeii,479,0.30179692,0.01,15
D4P1,Drosophila_melanogaster,100988,63.62811563,0.5,15
D4P1,Drosophila_simulans,705,0.444189622,0.01,15
D4P1,Lysiphlebus_testaceipes,3625,2.283953729,0.13,15
D4P1,Metopolophium_dirhodum,27,0.017011517,0.01,15
D4P1,Psyllid_sp,1438,0.906020817,0.01,15
D4P1,Rhopalosiphum_padi,144,0.090728093,0.01,15
D4P1,Scaptodrosophila_lativittata,886,0.558229794,0.01,15
PCRpool4P1,Acizzia_alternata,1204,0.738718287,0.01,15
PCRpool4P1,Acizzia_solanicola,9894,6.070497285,0.05,15
PCRpool4P1,Aphidius_colemani,35269,21.63941467,0.12,15
PCRpool4P1,Bactrocera_tryoni,1023,0.627665123,0.01,15
PCRpool4P1,Bradysia_ocellaris,0,0,0,15
PCRpool4P1,Carpophilus_davidsoni,5508,3.379452097,0.1,15
PCRpool4P1,Carpophilus_dimidiatus,1516,0.930146946,0.01,15
PCRpool4P1,Diuraphis_noxia,986,0.604963647,0.01,15
PCRpool4P1,Drosophila_hydeii,2046,1.255330245,0.01,15
PCRpool4P1,Drosophila_melanogaster,52265,32.06736816,0.5,15
PCRpool4P1,Drosophila_simulans,27493,16.86842347,0.01,15
PCRpool4P1,Lysiphlebus_testaceipes,18066,11.08445562,0.13,15
PCRpool4P1,Metopolophium_dirhodum,1083,0.664478326,0.01,15
PCRpool4P1,Psyllid_sp,2436,1.494616069,0.01,15
PCRpool4P1,Rhopalosiphum_padi,1679,1.030156149,0.01,15
PCRpool4P1,Scaptodrosophila_lativittata,2517,1.544313894,0.01,15
I5P1,Acizzia_alternata,60423,12.03079827,0.00990099,16
I5P1,Acizzia_solanicola,352027,70.0919488,0.099009901,16
I5P1,Aphidius_colemani,17209,3.426476796,0.356435644,16
I5P1,Bactrocera_tryoni,45183,8.996368241,0.00990099,16
I5P1,Bradysia_ocellaris,913,0.181787048,0.00990099,16
I5P1,Carpophilus_davidsoni,5253,1.045922634,0.247524752,16
I5P1,Carpophilus_dimidiatus,463,0.092187736,0.00990099,16
I5P1,Diuraphis_noxia,217,0.043206779,0.00990099,16
I5P1,Drosophila_hydeii,404,0.080440271,0.00990099,16
I5P1,Drosophila_melanogaster,7480,1.489339673,0.04950495,16
I5P1,Drosophila_simulans,1031,0.205281979,0.00990099,16
I5P1,Lysiphlebus_testaceipes,4673,0.930439076,0.138613861,16
I5P1,Metopolophium_dirhodum,423,0.084223353,0.00990099,16
I5P1,Psyllid_sp,2527,0.503149914,0.00990099,16
I5P1,Rhopalosiphum_padi,3302,0.65745984,0.00990099,16
I5P1,Scaptodrosophila_lativittata,708,0.140969584,0.00990099,16
D5P1,Acizzia_alternata,13370,7.780131279,0.00990099,16
D5P1,Acizzia_solanicola,32116,18.68860854,0.099009901,16
D5P1,Aphidius_colemani,82201,47.83355058,0.356435644,16
D5P1,Bactrocera_tryoni,890,0.517899539,0.00990099,16
D5P1,Bradysia_ocellaris,543,0.31597691,0.00990099,16
D5P1,Carpophilus_davidsoni,4694,2.731483637,0.247524752,16
D5P1,Carpophilus_dimidiatus,12383,7.205786509,0.00990099,16
D5P1,Diuraphis_noxia,29,0.016875378,0.00990099,16
D5P1,Drosophila_hydeii,634,0.368930683,0.00990099,16
D5P1,Drosophila_melanogaster,13740,7.995437829,0.04950495,16
D5P1,Drosophila_simulans,1169,0.680252316,0.00990099,16
D5P1,Lysiphlebus_testaceipes,6084,3.540337973,0.138613861,16
D5P1,Metopolophium_dirhodum,50,0.02909548,0.00990099,16
D5P1,Psyllid_sp,2156,1.254597086,0.00990099,16
D5P1,Rhopalosiphum_padi,264,0.153624133,0.00990099,16
D5P1,Scaptodrosophila_lativittata,1525,0.887412132,0.00990099,16
PCRpool5P1,Acizzia_alternata,1082,0.550871619,0.00990099,16
PCRpool5P1,Acizzia_solanicola,18671,9.505844738,0.099009901,16
PCRpool5P1,Aphidius_colemani,96013,48.88247393,0.356435644,16
PCRpool5P1,Bactrocera_tryoni,867,0.441410068,0.00990099,16
PCRpool5P1,Bradysia_ocellaris,1389,0.707172532,0.00990099,16
